Entropy before packing,Entropy after packing ,Difference in Entropy,Our Results
1.255098726,0.823192668,-0.431906057,Not packed
3.090483602,2.556721682,-0.53376192,Not packed
2.286252952,1.747804386,-0.538448565,Not packed
3.53089306,2.547249998,-0.983643062,Not packed
2.464731286,1.717308681,-0.747422605,Not packed
2.920838289,2.492253633,-0.428584657,Not packed
2.047396586,1.959026309,-0.088370277,Not packed
1.219122961,0.842854559,-0.376268401,Not packed
2.905456875,2.549081457,-0.356375418,Not packed
4.848195131,3.433072089,-1.415123042,Not packed
4.752385513,3.497586348,-1.254799165,Not packed
4.641022338,3.450293649,-1.190728689,Not packed
1.240879031,0.850503239,-0.390375792,Not packed
1.207820685,0.856671378,-0.351149307,Not packed
2.462764997,1.90281252,-0.559952477,Not packed
1.240816979,0.830680621,-0.410136358,Not packed
2.360415695,1.77782006,-0.582595635,Not packed
2.601510245,2.708001201,0.106490956,Not packed
2.340895028,1.790228226,-0.550666801,Not packed
1.021712585,0.89025396,-0.131458625,Not packed
2.779086188,2.50774764,-0.271338548,Not packed
2.464198561,1.788478853,-0.675719707,Not packed
1.154285214,0.868565588,-0.285719627,Not packed
4.096248181,3.450532519,-0.645715662,Not packed
1.208019885,0.815729849,-0.392290036,Not packed
1.216889484,0.807997136,-0.408892348,Not packed
2.429125375,1.781326319,-0.647799057,Not packed
2.701224075,2.454258368,-0.246965707,Not packed
1.194591614,0.862476004,-0.33211561,Not packed
1.256974801,0.833235947,-0.423738853,Not packed
2.950657777,2.617973619,-0.332684157,Not packed
2.300546756,1.62949165,-0.671055107,Not packed
2.457273911,1.780885923,-0.676387988,Not packed
0.824389303,0.908341397,0.083952094,Not packed
2.226488042,2.75232211,0.525834068,Not packed
2.279627466,4.007809949,1.728182483,Not packed
1.233233399,0.822469447,-0.410763952,Not packed
2.518740395,1.764890269,-0.753850126,Not packed
2.110644665,1.688497784,-0.422146881,Not packed
2.889200651,2.626159111,-0.26304154,Not packed
2.273260335,1.801711288,-0.471549048,Not packed
4.150855407,3.466826142,-0.684029264,Not packed
2.843991631,2.753298996,-0.090692635,Not packed
2.246985522,1.805999391,-0.440986131,Not packed
2.421094323,2.535960245,0.114865921,Not packed
1.247638862,0.836794299,-0.410844563,Not packed
1.227317485,1.902184609,0.674867124,Not packed
4.817406604,3.464537712,-1.352868892,Not packed
1.282220175,0.836211096,-0.446009079,Not packed
1.019872629,0.883587004,-0.136285625,Not packed
2.57973318,2.683443646,0.103710466,Not packed
2.502710957,2.853306338,0.350595381,Not packed
4.221106592,3.308379842,-0.91272675,Not packed
1.223797016,1.889883166,0.66608615,Not packed
2.23959994,1.801076447,-0.438523492,Not packed
4.331117838,3.457463642,-0.873654195,Not packed
4.629744723,3.366331423,-1.2634133,Not packed
2.537894268,1.737105488,-0.800788779,Not packed
1.215953415,1.829275168,0.613321753,Not packed
1.256686487,2.794227093,1.537540607,Not packed
3.670672669,2.674001646,-0.996671023,Not packed
4.119175666,3.253358495,-0.865817171,Not packed
1.245490804,0.82354079,-0.421950014,Not packed
2.453797308,1.788917241,-0.664880067,Not packed
3.227438584,2.539833412,-0.687605172,Not packed
3.20725058,3.399517328,0.192266748,Not packed
3.189302306,2.594984796,-0.59431751,Not packed
2.422501665,1.809738371,-0.612763294,Not packed
4.188860871,3.341926383,-0.846934487,Not packed
2.754593571,2.102369148,-0.652224423,Not packed
2.440032278,1.760568928,-0.67946335,Not packed
1.246321259,0.841556997,-0.404764261,Not packed
3.4198593,2.493294721,-0.926564579,Not packed
2.502835194,1.77055071,-0.732284484,Not packed
2.689431309,2.66302221,-0.026409098,Not packed
2.225144192,1.80826185,-0.416882342,Not packed
1.256287798,0.816166271,-0.440121527,Not packed
1.994513716,1.922652138,-0.071861578,Not packed
3.138247362,2.601255115,-0.536992247,Not packed
3.580626735,3.458357179,-0.122269556,Not packed
1.176489326,0.863092384,-0.313396942,Not packed
3.111439627,2.495208354,-0.616231273,Not packed
1.237852067,1.823141015,0.585288949,Not packed
1.217006884,1.741913523,0.524906639,Not packed
3.403947882,2.632592381,-0.771355502,Not packed
1.228846455,0.821098012,-0.407748442,Not packed
3.014394773,3.524196528,0.509801754,Not packed
3.099337747,2.621201391,-0.478136356,Not packed
1.182698132,1.09622438,-0.086473752,Packed
1.371092543,1.0862788,-0.284813743,Packed
1.540120395,1.097829191,-0.442291204,Packed
1.466133998,1.158957762,-0.307176235,Packed
1.404635818,1.094573556,-0.310062262,Packed
1.457297714,1.127402608,-0.329895106,Packed
1.368933833,1.123029055,-0.245904778,Packed
1.430332481,1.159477653,-0.270854827,Packed
1.36353448,1.086665418,-0.276869062,Packed
1.404107765,1.104380247,-0.299727518,Packed
1.310756821,1.06228533,-0.248471491,Packed
1.312518924,1.061663528,-0.250855396,Packed
1.312296232,1.062621994,-0.249674238,Packed
1.230111369,1.093845554,-0.136265815,Packed
1.337918235,1.080366678,-0.257551558,Packed
1.322960411,1.075763306,-0.247197105,Packed
1.42496317,1.112156041,-0.312807129,Packed
1.350064946,1.081685422,-0.268379523,Packed
1.380995237,1.092317962,-0.288677275,Packed
1.474547452,1.160626895,-0.313920556,Packed
1.421971312,1.130545464,-0.291425848,Packed
1.393995068,1.108650963,-0.285344105,Packed
1.325712134,1.070255107,-0.255457027,Packed
1.303112025,1.058024026,-0.245087999,Packed
1.418480334,1.17840058,-0.240079754,Packed
1.503544319,1.160253696,-0.343290623,Packed
1.415838454,1.129146478,-0.286691976,Packed
1.412994477,1.111729049,-0.301265428,Packed
1.065659372,1.109382686,0.043723314,Packed
1.434384156,1.129479053,-0.304905103,Packed
1.290258263,1.068932188,-0.221326075,Packed
1.416301743,1.172733628,-0.243568114,Packed
1.377162232,1.09372666,-0.283435572,Packed
1.394008722,1.105698443,-0.288310279,Packed
1.367925598,1.091585692,-0.276339906,Packed
1.491875648,1.140981066,-0.350894582,Packed
1.453410861,1.160719693,-0.292691167,Packed
1.406179886,1.148204953,-0.257974934,Packed
1.32533681,1.066011914,-0.259324896,Packed
1.349676139,1.076946165,-0.272729974,Packed
1.485782956,1.163594098,-0.322188858,Packed
1.351867477,1.122014198,-0.229853279,Packed
1.377859241,1.078136354,-0.299722887,Packed
1.361794162,1.267093672,-0.09470049,Packed
1.394738998,1.1042763,-0.290462697,Packed
1.407132731,1.208328399,-0.198804333,Packed
1.469904872,1.113897587,-0.356007284,Packed
1.374606079,1.217086237,-0.157519842,Packed
1.456282785,1.143841994,-0.312440791,Packed
1.392156702,1.094600661,-0.297556041,Packed
1.15970102,1.113426174,-0.046274846,Packed
1.409290264,1.09334733,-0.315942934,Packed
1.435343309,1.117227748,-0.318115562,Packed
1.357143013,1.083012936,-0.274130078,Packed
1.480045136,1.242447873,-0.237597263,Packed
1.364952428,1.082009134,-0.282943294,Packed
1.445035395,1.154252798,-0.290782597,Packed
1.341285188,1.071228972,-0.270056216,Packed
1.340035603,1.079584241,-0.260451362,Packed
1.356833488,1.084902335,-0.271931153,Packed
1.305002879,1.068445264,-0.236557615,Packed
1.415366345,1.113897835,-0.301468509,Packed
1.092553165,1.270684788,0.178131622,Packed
1.090570344,1.265379628,0.174809284,Packed
1.437830604,1.125758151,-0.312072454,Packed
1.431208201,1.169221625,-0.261986576,Packed
1.424876478,1.121208683,-0.303667795,Packed
1.426066822,1.12454804,-0.301518782,Packed
1.389327028,1.097955664,-0.291371364,Packed
1.490715522,1.081972547,-0.408742975,Packed
1.197147119,1.181337534,-0.015809584,Packed
1.422193709,1.130941983,-0.291251727,Packed
1.372139296,1.084114468,-0.288024828,Packed
1.334690424,1.070760155,-0.263930269,Packed
1.243886232,1.069005834,-0.174880398,Packed
1.365478888,1.209448781,-0.156030107,Packed
1.494229489,1.175350245,-0.318879244,Packed
1.365477335,1.08483141,-0.280645924,Packed
